Incident_Number,Short_Description,Category,Priority,Status,Opened_At,Resolved_At,Closed_At,Assigned_To,Caller
INC0000047,Incident issue 47,Infrastructure,High,Closed,9/30/2024,10/13/2024,10/16/2024,Engineer_5,User_30
INC0000048,Incident issue 48,Security,High,Resolved,10/13/2024,10/28/2024,10/29/2024,Engineer_2,User_13
INC0000049,Incident issue 49,Application,Low,New,8/14/2024,,,Engineer_4,User_22
INC0000050,Incident issue 50,Application,Medium,In Progress,6/4/2024,,,Engineer_5,User_29
INC0000051,Incident issue 51,Network,Low,Resolved,3/11/2024,3/19/2024,3/20/2024,Engineer_3,User_22
INC0000052,Incident issue 52,Infrastructure,Low,On Hold,4/24/2024,,,Engineer_7,User_7
INC0000053,Incident issue 53,Database,Critical,On Hold,7/1/2024,,,Engineer_9,User_15
INC0000054,Incident issue 54,Security,Medium,Closed,8/13/2024,8/25/2024,8/25/2024,Engineer_10,User_10
INC0000055,Incident issue 55,Application,Critical,New,9/19/2024,,,Engineer_5,User_9
INC0000056,Incident issue 56,Database,High,Resolved,1/21/2024,2/5/2024,2/6/2024,Engineer_5,User_13
INC0000057,Incident issue 57,Database,Critical,On Hold,3/17/2024,,,Engineer_1,User_26
INC0000058,Incident issue 58,Database,Critical,New,4/3/2024,,,Engineer_5,User_3
INC0000059,Incident issue 59,Network,Low,New,4/23/2024,,,Engineer_6,User_18
INC0000060,Incident issue 60,Infrastructure,High,New,8/1/2024,,,Engineer_9,User_23
INC0000061,Incident issue 61,Database,Critical,In Progress,5/2/2024,,,Engineer_4,User_30
INC0000062,Incident issue 62,Infrastructure,High,On Hold,6/8/2024,,,Engineer_8,User_17
INC0000063,Incident issue 63,Network,Medium,New,4/1/2024,,,Engineer_1,User_1
INC0000064,Incident issue 64,Infrastructure,Low,In Progress,9/15/2024,,,Engineer_8,User_4
INC0000065,Incident issue 65,Infrastructure,Low,Closed,8/9/2024,8/20/2024,8/23/2024,Engineer_5,User_23
INC0000066,Incident issue 66,Application,High,Resolved,4/20/2024,4/24/2024,4/26/2024,Engineer_6,User_2
INC0000067,Incident issue 67,Database,Low,In Progress,3/7/2024,,,Engineer_1,User_3
INC0000068,Incident issue 68,Infrastructure,High,On Hold,7/14/2024,,,Engineer_1,User_15
INC0000069,Incident issue 69,Security,Critical,On Hold,4/4/2024,,,Engineer_6,User_11
INC0000070,Incident issue 70,Network,Medium,In Progress,10/7/2024,,,Engineer_6,User_6
INC0000071,Incident issue 71,Network,Low,On Hold,1/1/2024,,,Engineer_9,User_21
INC0000072,Incident issue 72,Network,Medium,New,4/12/2024,,,Engineer_3,User_13
INC0000073,Incident issue 73,Network,Medium,On Hold,10/27/2024,,,Engineer_4,User_3
INC0000074,Incident issue 74,Infrastructure,Low,On Hold,10/26/2024,,,Engineer_8,User_5
INC0000075,Incident issue 75,Network,Low,Closed,5/25/2024,6/6/2024,6/7/2024,Engineer_3,User_30
INC0000076,Incident issue 76,Infrastructure,High,New,9/25/2024,,,Engineer_1,User_2
INC0000077,Incident issue 77,Network,Low,Resolved,3/9/2024,3/20/2024,3/22/2024,Engineer_9,User_2
INC0000078,Incident issue 78,Security,Medium,New,1/10/2024,,,Engineer_8,User_26
INC0000079,Incident issue 79,Infrastructure,Critical,Resolved,2/5/2024,2/17/2024,2/17/2024,Engineer_5,User_26
INC0000080,Incident issue 80,Application,High,In Progress,2/8/2024,,,Engineer_8,User_16
INC0000081,Incident issue 81,Database,Critical,Closed,7/14/2024,7/16/2024,7/19/2024,Engineer_4,User_3
INC0000082,Incident issue 82,Database,High,New,3/16/2024,,,Engineer_8,User_2
INC0000083,Incident issue 83,Application,Low,On Hold,9/5/2024,,,Engineer_9,User_10
INC0000084,Incident issue 84,Network,High,On Hold,8/25/2024,,,Engineer_2,User_30
INC0000085,Incident issue 85,Security,Critical,Closed,8/30/2024,8/31/2024,9/2/2024,Engineer_8,User_9
INC0000086,Incident issue 86,Network,Critical,In Progress,7/17/2024,,,Engineer_9,User_9
INC0000087,Incident issue 87,Network,Medium,In Progress,7/3/2024,,,Engineer_8,User_29
INC0000088,Incident issue 88,Application,Critical,Resolved,9/5/2024,9/12/2024,9/12/2024,Engineer_8,User_13
INC0000089,Incident issue 89,Security,Medium,Resolved,6/3/2024,6/15/2024,6/16/2024,Engineer_6,User_4
INC0000090,Incident issue 90,Database,Low,New,6/18/2024,,,Engineer_4,User_23
INC0000091,Incident issue 91,Database,Medium,New,1/7/2024,,,Engineer_7,User_13
INC0000092,Incident issue 92,Database,Critical,On Hold,2/9/2024,,,Engineer_2,User_2
INC0000093,Incident issue 93,Application,Medium,Resolved,5/26/2024,6/6/2024,6/7/2024,Engineer_9,User_11
INC0000094,Incident issue 94,Security,Critical,Resolved,4/7/2024,4/20/2024,4/22/2024,Engineer_9,User_18
INC0000095,Incident issue 95,Network,Low,Resolved,4/14/2024,4/26/2024,4/26/2024,Engineer_10,User_25
INC0000096,Incident issue 96,Security,Critical,Closed,3/11/2024,3/22/2024,3/24/2024,Engineer_3,User_6
INC0000097,Incident issue 97,Database,Medium,On Hold,8/29/2024,,,Engineer_5,User_13
INC0000098,Incident issue 98,Infrastructure,Low,New,5/2/2024,,,Engineer_3,User_21
INC0000099,Incident issue 99,Infrastructure,Low,Closed,3/23/2024,3/25/2024,3/26/2024,Engineer_4,User_15
INC0000100,Incident issue 100,Security,High,Closed,6/19/2024,7/2/2024,7/5/2024,Engineer_4,User_8
INC0000101,Incident issue 101,Infrastructure,Critical,On Hold,2/16/2024,,,Engineer_4,User_12
INC0000102,Incident issue 102,Network,Low,Resolved,5/12/2024,5/25/2024,5/26/2024,Engineer_7,User_24
INC0000103,Incident issue 103,Database,Medium,New,9/25/2024,,,Engineer_8,User_9
INC0000104,Incident issue 104,Infrastructure,High,New,10/21/2024,,,Engineer_5,User_29
INC0000105,Incident issue 105,Security,Low,On Hold,5/7/2024,,,Engineer_1,User_5
INC0000106,Incident issue 106,Infrastructure,Low,New,1/17/2024,,,Engineer_2,User_13
INC0000107,Incident issue 107,Security,High,New,9/27/2024,,,Engineer_4,User_5
INC0000108,Incident issue 108,Security,Critical,Closed,3/18/2024,3/27/2024,3/27/2024,Engineer_1,User_1
INC0000109,Incident issue 109,Database,High,On Hold,3/5/2024,,,Engineer_9,User_21
INC0000110,Incident issue 110,Network,Critical,On Hold,8/11/2024,,,Engineer_9,User_19
INC0000111,Incident issue 111,Application,Critical,New,4/8/2024,,,Engineer_9,User_10
INC0000112,Incident issue 112,Application,Low,Closed,8/23/2024,8/28/2024,8/30/2024,Engineer_4,User_18
INC0000113,Incident issue 113,Database,Critical,New,5/6/2024,,,Engineer_4,User_16
INC0000114,Incident issue 114,Application,Low,On Hold,8/3/2024,,,Engineer_4,User_16
INC0000115,Incident issue 115,Security,Medium,Resolved,1/18/2024,1/30/2024,2/1/2024,Engineer_4,User_1
INC0000116,Incident issue 116,Application,Low,In Progress,5/29/2024,,,Engineer_5,User_25
INC0000117,Incident issue 117,Application,Medium,On Hold,4/9/2024,,,Engineer_2,User_20
INC0000118,Incident issue 118,Application,Low,Resolved,9/10/2024,9/20/2024,9/21/2024,Engineer_1,User_20
INC0000119,Incident issue 119,Network,High,New,3/15/2024,,,Engineer_10,User_5
INC0000120,Incident issue 120,Application,Low,Resolved,7/31/2024,8/1/2024,8/1/2024,Engineer_6,User_24
INC0000121,Incident issue 121,Database,High,In Progress,2/27/2024,,,Engineer_9,User_24
INC0000122,Incident issue 122,Security,Medium,On Hold,8/27/2024,,,Engineer_8,User_6
INC0000123,Incident issue 123,Database,Critical,On Hold,2/25/2024,,,Engineer_7,User_29
INC0000124,Incident issue 124,Security,Medium,On Hold,3/4/2024,,,Engineer_7,User_3
INC0000125,Incident issue 125,Application,Medium,Closed,1/26/2024,2/7/2024,2/10/2024,Engineer_8,User_7
INC0000126,Incident issue 126,Network,Low,In Progress,6/14/2024,,,Engineer_7,User_2
INC0000127,Incident issue 127,Network,Critical,On Hold,7/11/2024,,,Engineer_4,User_24
INC0000128,Incident issue 128,Database,Medium,On Hold,2/2/2024,,,Engineer_10,User_2
INC0000129,Incident issue 129,Database,Medium,New,5/14/2024,,,Engineer_10,User_30
INC0000130,Incident issue 130,Network,Low,Resolved,2/3/2024,2/4/2024,2/5/2024,Engineer_7,User_26
INC0000131,Incident issue 131,Security,High,Resolved,5/8/2024,5/23/2024,5/26/2024,Engineer_3,User_1
INC0000132,Incident issue 132,Infrastructure,High,On Hold,6/4/2024,,,Engineer_6,User_15
INC0000133,Incident issue 133,Infrastructure,High,Resolved,7/4/2024,7/17/2024,7/17/2024,Engineer_3,User_8
INC0000134,Incident issue 134,Security,Medium,In Progress,7/27/2024,,,Engineer_7,User_29
INC0000135,Incident issue 135,Infrastructure,Critical,In Progress,2/23/2024,,,Engineer_2,User_14
INC0000136,Incident issue 136,Application,High,In Progress,9/12/2024,,,Engineer_7,User_15
INC0000137,Incident issue 137,Database,Medium,On Hold,4/30/2024,,,Engineer_10,User_9
INC0000138,Incident issue 138,Application,Low,In Progress,7/9/2024,,,Engineer_3,User_8
INC0000139,Incident issue 139,Infrastructure,High,On Hold,4/30/2024,,,Engineer_2,User_13
INC0000140,Incident issue 140,Network,Low,New,5/8/2024,,,Engineer_2,User_1
INC0000141,Incident issue 141,Security,Medium,New,8/31/2024,,,Engineer_5,User_8
INC0000142,Incident issue 142,Infrastructure,High,New,3/2/2024,,,Engineer_6,User_17
INC0000143,Incident issue 143,Network,Critical,Closed,4/1/2024,4/9/2024,4/11/2024,Engineer_10,User_12
INC0000144,Incident issue 144,Database,High,New,4/21/2024,,,Engineer_4,User_9
INC0000145,Incident issue 145,Network,Medium,Resolved,1/20/2024,1/30/2024,1/31/2024,Engineer_6,User_6
INC0000146,Incident issue 146,Network,Low,Closed,6/8/2024,6/10/2024,6/11/2024,Engineer_8,User_3
INC0000147,Incident issue 147,Infrastructure,High,Closed,7/27/2024,7/29/2024,8/1/2024,Engineer_2,User_21
INC0000148,Incident issue 148,Security,Medium,On Hold,3/24/2024,,,Engineer_7,User_2
INC0000149,Incident issue 149,Security,Low,New,6/8/2024,,,Engineer_6,User_21
INC0000150,Incident issue 150,Application,Critical,Resolved,4/10/2024,4/17/2024,4/20/2024,Engineer_3,User_14
INC0000151,Incident issue 151,Security,Medium,Resolved,2/28/2024,3/13/2024,3/13/2024,Engineer_3,User_5
INC0000152,Incident issue 152,Security,Critical,Closed,1/8/2024,1/9/2024,1/10/2024,Engineer_10,User_30
INC0000153,Incident issue 153,Application,Medium,On Hold,7/8/2024,,,Engineer_3,User_17
INC0000154,Incident issue 154,Network,Low,Resolved,3/28/2024,4/12/2024,4/12/2024,Engineer_4,User_10
INC0000155,Incident issue 155,Security,Medium,New,3/5/2024,,,Engineer_10,User_30
INC0000156,Incident issue 156,Application,Low,Closed,7/17/2024,7/19/2024,7/20/2024,Engineer_4,User_27
INC0000157,Incident issue 157,Network,Low,Closed,8/30/2024,9/2/2024,9/3/2024,Engineer_3,User_13
INC0000158,Incident issue 158,Application,High,New,7/2/2024,,,Engineer_9,User_27
INC0000159,Incident issue 159,Network,Low,Closed,1/20/2024,1/31/2024,2/2/2024,Engineer_8,User_18
INC0000160,Incident issue 160,Database,High,Resolved,6/5/2024,6/16/2024,6/19/2024,Engineer_7,User_22
INC0000161,Incident issue 161,Application,Critical,New,7/7/2024,,,Engineer_10,User_16
INC0000162,Incident issue 162,Infrastructure,Low,In Progress,8/26/2024,,,Engineer_8,User_13
INC0000163,Incident issue 163,Database,Low,On Hold,2/24/2024,,,Engineer_2,User_26
INC0000164,Incident issue 164,Network,High,New,8/14/2024,,,Engineer_6,User_25
INC0000165,Incident issue 165,Infrastructure,Low,In Progress,9/18/2024,,,Engineer_1,User_28
INC0000166,Incident issue 166,Application,High,Resolved,2/3/2024,2/13/2024,2/13/2024,Engineer_5,User_26
INC0000167,Incident issue 167,Network,Medium,Closed,3/25/2024,4/5/2024,4/6/2024,Engineer_5,User_6
INC0000168,Incident issue 168,Security,High,On Hold,6/14/2024,,,Engineer_9,User_30
INC0000169,Incident issue 169,Infrastructure,High,On Hold,9/2/2024,,,Engineer_6,User_2
INC0000170,Incident issue 170,Application,Medium,On Hold,4/11/2024,,,Engineer_7,User_6
INC0000171,Incident issue 171,Database,Low,Closed,5/15/2024,5/17/2024,5/17/2024,Engineer_9,User_19
INC0000172,Incident issue 172,Database,Medium,Resolved,2/23/2024,2/28/2024,3/2/2024,Engineer_6,User_19
INC0000173,Incident issue 173,Network,Low,In Progress,3/15/2024,,,Engineer_3,User_20
INC0000174,Incident issue 174,Database,Medium,New,1/25/2024,,,Engineer_1,User_8
INC0000175,Incident issue 175,Security,Medium,New,3/17/2024,,,Engineer_3,User_16
INC0000176,Incident issue 176,Network,Critical,New,4/26/2024,,,Engineer_10,User_12
INC0000177,Incident issue 177,Infrastructure,High,Resolved,6/4/2024,6/6/2024,6/8/2024,Engineer_10,User_10
INC0000178,Incident issue 178,Infrastructure,Low,In Progress,3/9/2024,,,Engineer_3,User_1
INC0000179,Incident issue 179,Security,Critical,New,5/4/2024,,,Engineer_3,User_28
INC0000180,Incident issue 180,Network,Critical,Closed,5/18/2024,5/25/2024,5/27/2024,Engineer_6,User_20
INC0000181,Incident issue 181,Application,High,New,10/23/2024,,,Engineer_1,User_2
INC0000182,Incident issue 182,Application,High,In Progress,9/29/2024,,,Engineer_1,User_30
INC0000183,Incident issue 183,Application,Low,In Progress,2/23/2024,,,Engineer_9,User_20
INC0000184,Incident issue 184,Infrastructure,High,Closed,9/16/2024,9/27/2024,9/30/2024,Engineer_5,User_3
INC0000185,Incident issue 185,Security,Critical,Resolved,6/2/2024,6/13/2024,6/13/2024,Engineer_7,User_24
INC0000186,Incident issue 186,Application,High,New,8/26/2024,,,Engineer_5,User_8
INC0000187,Incident issue 187,Database,Critical,On Hold,1/20/2024,,,Engineer_9,User_22
INC0000188,Incident issue 188,Database,High,New,8/11/2024,,,Engineer_9,User_1
INC0000189,Incident issue 189,Application,High,On Hold,3/27/2024,,,Engineer_4,User_29
INC0000190,Incident issue 190,Security,Low,Resolved,7/18/2024,7/24/2024,7/25/2024,Engineer_9,User_23
INC0000191,Incident issue 191,Security,High,Closed,1/4/2024,1/18/2024,1/18/2024,Engineer_5,User_26
INC0000192,Incident issue 192,Infrastructure,High,In Progress,4/18/2024,,,Engineer_1,User_1
INC0000193,Incident issue 193,Database,High,New,2/27/2024,,,Engineer_1,User_2
INC0000194,Incident issue 194,Network,Critical,New,3/11/2024,,,Engineer_10,User_25
INC0000195,Incident issue 195,Security,Critical,In Progress,7/5/2024,,,Engineer_4,User_7
INC0000196,Incident issue 196,Network,Medium,Resolved,2/27/2024,2/28/2024,2/28/2024,Engineer_2,User_5
INC0000197,Incident issue 197,Database,Medium,On Hold,2/20/2024,,,Engineer_7,User_9
INC0000198,Incident issue 198,Database,Critical,On Hold,1/11/2024,,,Engineer_6,User_25
INC0000199,Incident issue 199,Infrastructure,Critical,Resolved,9/14/2024,9/22/2024,9/24/2024,Engineer_1,User_14
INC0000200,Incident issue 200,Database,Low,New,9/22/2024,,,Engineer_9,User_19
INC0000201,Incident issue 201,Infrastructure,Medium,In Progress,4/20/2024,,,Engineer_7,User_1
INC0000202,Incident issue 202,Network,Critical,On Hold,9/25/2024,,,Engineer_8,User_4
INC0000203,Incident issue 203,Security,Medium,Closed,9/8/2024,9/20/2024,9/21/2024,Engineer_5,User_19
INC0000204,Incident issue 204,Application,Low,In Progress,3/22/2024,,,Engineer_2,User_21
INC0000205,Incident issue 205,Database,Medium,New,2/11/2024,,,Engineer_7,User_30
INC0000206,Incident issue 206,Security,Critical,On Hold,7/21/2024,,,Engineer_4,User_10
INC0000207,Incident issue 207,Security,High,Resolved,5/14/2024,5/21/2024,5/22/2024,Engineer_3,User_18
INC0000208,Incident issue 208,Infrastructure,High,Resolved,1/18/2024,1/24/2024,1/26/2024,Engineer_9,User_24
INC0000209,Incident issue 209,Security,Medium,Closed,6/14/2024,6/17/2024,6/20/2024,Engineer_4,User_5
INC0000210,Incident issue 210,Infrastructure,High,On Hold,6/20/2024,,,Engineer_5,User_25
INC0000211,Incident issue 211,Application,Medium,Closed,3/20/2024,4/1/2024,4/2/2024,Engineer_9,User_12
INC0000212,Incident issue 212,Application,Medium,New,3/23/2024,,,Engineer_3,User_22
INC0000213,Incident issue 213,Application,High,On Hold,2/22/2024,,,Engineer_5,User_14
INC0000214,Incident issue 214,Network,Medium,In Progress,5/20/2024,,,Engineer_7,User_15
INC0000215,Incident issue 215,Security,High,Closed,1/18/2024,1/19/2024,1/22/2024,Engineer_5,User_15
INC0000216,Incident issue 216,Infrastructure,Low,New,1/12/2024,,,Engineer_4,User_30
INC0000217,Incident issue 217,Application,High,In Progress,8/8/2024,,,Engineer_2,User_15
INC0000218,Incident issue 218,Network,Low,In Progress,8/9/2024,,,Engineer_7,User_23
INC0000219,Incident issue 219,Security,Low,New,3/21/2024,,,Engineer_10,User_28
INC0000220,Incident issue 220,Database,Critical,Resolved,7/28/2024,8/6/2024,8/7/2024,Engineer_8,User_30
INC0000221,Incident issue 221,Infrastructure,High,In Progress,2/24/2024,,,Engineer_4,User_17
INC0000222,Incident issue 222,Infrastructure,High,Resolved,6/27/2024,6/29/2024,7/2/2024,Engineer_9,User_1
INC0000223,Incident issue 223,Security,Low,In Progress,7/8/2024,,,Engineer_3,User_13
INC0000224,Incident issue 224,Infrastructure,Medium,New,9/20/2024,,,Engineer_5,User_9
INC0000225,Incident issue 225,Network,Critical,Resolved,7/14/2024,7/21/2024,7/21/2024,Engineer_7,User_21
INC0000226,Incident issue 226,Network,High,On Hold,6/29/2024,,,Engineer_7,User_17
INC0000227,Incident issue 227,Security,High,In Progress,4/22/2024,,,Engineer_3,User_30
INC0000228,Incident issue 228,Security,High,In Progress,2/5/2024,,,Engineer_6,User_22
INC0000229,Incident issue 229,Infrastructure,High,Resolved,7/30/2024,8/7/2024,8/9/2024,Engineer_6,User_26
INC0000230,Incident issue 230,Database,Low,In Progress,4/27/2024,,,Engineer_8,User_1
INC0000231,Incident issue 231,Database,Medium,Resolved,5/23/2024,5/29/2024,5/30/2024,Engineer_8,User_14
INC0000232,Incident issue 232,Application,Medium,Resolved,2/13/2024,2/24/2024,2/26/2024,Engineer_1,User_3
INC0000233,Incident issue 233,Application,Medium,Closed,10/16/2024,10/31/2024,11/2/2024,Engineer_1,User_22
INC0000234,Incident issue 234,Database,Medium,Closed,1/6/2024,1/10/2024,1/10/2024,Engineer_2,User_19
INC0000235,Incident issue 235,Application,Low,On Hold,3/14/2024,,,Engineer_3,User_7
INC0000236,Incident issue 236,Infrastructure,Critical,Closed,7/25/2024,8/7/2024,8/8/2024,Engineer_5,User_7
INC0000237,Incident issue 237,Infrastructure,Critical,Resolved,9/10/2024,9/22/2024,9/23/2024,Engineer_2,User_18
INC0000238,Incident issue 238,Application,High,Resolved,3/1/2024,3/6/2024,3/9/2024,Engineer_8,User_18
INC0000239,Incident issue 239,Application,Low,In Progress,1/30/2024,,,Engineer_8,User_6
INC0000240,Incident issue 240,Application,Medium,Resolved,10/3/2024,10/13/2024,10/13/2024,Engineer_10,User_16
INC0000241,Incident issue 241,Database,Low,Resolved,5/31/2024,6/14/2024,6/17/2024,Engineer_2,User_6
INC0000242,Incident issue 242,Network,Critical,On Hold,7/3/2024,,,Engineer_2,User_17
INC0000243,Incident issue 243,Network,High,Resolved,9/4/2024,9/12/2024,9/13/2024,Engineer_3,User_11
INC0000244,Incident issue 244,Database,Low,Closed,2/18/2024,3/3/2024,3/5/2024,Engineer_9,User_25
INC0000245,Incident issue 245,Database,Low,On Hold,4/17/2024,,,Engineer_9,User_2
INC0000246,Incident issue 246,Security,Low,On Hold,5/28/2024,,,Engineer_9,User_9
INC0000247,Incident issue 247,Security,Critical,On Hold,9/16/2024,,,Engineer_4,User_11
INC0000248,Incident issue 248,Network,Low,Closed,6/2/2024,6/5/2024,6/5/2024,Engineer_7,User_18
INC0000249,Incident issue 249,Database,Critical,New,10/20/2024,,,Engineer_1,User_7
INC0000250,Incident issue 250,Infrastructure,Low,Closed,8/31/2024,9/10/2024,9/10/2024,Engineer_3,User_21
